OrganizationFormalName,ActivityStartDate,ProjectName,MonitoringLocationName,Latitude,Logitude,ResultIdentifier,CharacteristicName,ResultMeasureValue,ResultMeasureUnit,AnalyticalMethod
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/7/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231742,Calcium,19.90000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),7/6/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231835,Magnesium,2.62000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),5/25/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231673,Calcium,19.50000,mg/L,200.7
Confederated Tribes of the Colville Reservation (Tribal),6/6/2005,Groundwater Ambient Monitoring,Inchelium City Well #4/5,48.31338,-118.2218,STORET-682315095,Lead,0.00600,mg/L,200.9
Kalispel Indian Community of the Kalispel Reservation (Tribal),9/7/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.31751451,-117.2703707,STORET-869231927,Calcium,20.40000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),4/13/2005,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-869231556,Iron,0.39000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),9/7/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231893,Calcium,20.20000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),7/6/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231810,Magnesium,2.66000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),8/10/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231854,Magnesium,5.70000,mg/L,200.7
Confederated Tribes of the Colville Reservation (Tribal),6/6/2005,Groundwater Ambient Monitoring,William Campobasso Well,48.46152,-118.7511,STORET-682315845,Arsenic,0.00300,mg/L,200.9
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/8/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231722,Magnesium,5.23000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),5/11/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231629,Calcium,19.90000,mg/L,200.7
Confederated Tribes of the Colville Reservation (Tribal),10/11/2005,Groundwater Ambient Monitoring,Keller Mission Well #1,48.09981,-118.6947,STORET-682316175,Arsenic,0.00700,mg/L,200.9
Kalispel Indian Community of the Kalispel Reservation (Tribal),7/6/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231808,Iron,0.11400,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),4/13/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231534,Iron,0.18200,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),5/25/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231703,Magnesium,5.39000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),9/7/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231896,Iron,0.16600,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),8/10/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231874,Calcium,20.00000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),3/9/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231478,Iron,0.18400,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),5/25/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231701,Iron,0.06100,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),5/11/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231659,Magnesium,5.67000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),3/9/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231480,Magnesium,6.53000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/22/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231764,Iron,0.40600,mg/L,200.7
Confederated Tribes of the Colville Reservation (Tribal),6/6/2005,Groundwater Ambient Monitoring,Rebecca Lake Well #1,48.05392,-118.9471,STORET-682319829,Lead,0.00200,mg/L,200.9
Kalispel Indian Community of the Kalispel Reservation (Tribal),4/27/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231610,Calcium,21.00000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),5/25/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231676,Iron,0.10400,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/22/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231761,Calcium,20.10000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),3/9/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231517,Magnesium,6.26000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),6/7/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231747,Magnesium,5.29000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),4/13/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231531,Calcium,21.00000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),8/10/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231879,Magnesium,5.57000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),4/13/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231566,Calcium,21.40000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),5/11/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231634,Magnesium,5.52000,mg/L,200.7
Confederated Tribes of the Colville Reservation (Tribal),6/6/2005,Groundwater Ambient Monitoring,Elmer City Well,47.99723,-118.9585,STORET-682317330,Arsenic,0.00400,mg/L,200.9
Kalispel Indian Community of the Kalispel Reservation (Tribal),3/9/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231475,Calcium,24.90000,mg/L,200.7
Confederated Tribes of the Colville Reservation (Tribal),10/11/2005,Groundwater Ambient Monitoring,Inchelium City Well #4/5,48.31338,-118.2218,STORET-682315113,Arsenic,0.00700,mg/L,200.9
Kalispel Indian Community of the Kalispel Reservation (Tribal),4/13/2005,Inorganics and Metals Sampling Project,Calispell Creek,48.34332808,-117.2951491,STORET-869231553,Calcium,6.08000,mg/L,200.7
Kalispel Indian Community of the Kalispel Reservation (Tribal),5/11/2005,Inorganics and Metals Sampling Project,Pend Oreille River,48.34801161,-117.2859447,STORET-869231632,Iron,0.11100,mg/L,200.7
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,Disautel Well #1,48.3588,-119.2369,STORET-682322585,Arsenic,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Project EPABEACH (system generated);Groundwater Ambient Monitoring,Rainbow Beach Resort Well #1,48.28951,-118.3663,STORET-682315362,Arsenic,0.00300,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,Keller Mission Well #1,48.09981,-118.6947,STORET-682316134,Arsenic,0.00900,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,Keller Park Campground Well,48.04066,-118.6697,STORET-682316383,Arsenic,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,William Campobasso Well,48.46152,-118.7511,STORET-682315826,Arsenic,0.00300,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,Rocky River Road HUD Well #1,48.45366,-119.4601,STORET-682320402,Arsenic,0.00800,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,Colville Indian Agency Well #4,48.12527,-118.9703,STORET-682319496,Arsenic,0.00800,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,Riverbank stabilization Well #DW-38,47.96574,-118.9806,STORET-682317618,Arsenic,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,Riverbank stabilization Well #DW-38,47.96574,-118.9806,STORET-682317599,Arsenic,0.00300,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,CCT Fish & Wildlife Facility Well,48.14561,-118.9996,STORET-682318880,Arsenic,0.00900,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Project EPABEACH (system generated);Groundwater Ambient Monitoring,Rainbow Beach Resort Well #1,48.28951,-118.3663,STORET-682315381,Arsenic,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,Cecilia Clark Well,48.22178,-118.9727,STORET-682317000,Arsenic,0.00500,mg/L,200.9
Lummi Tribe of the Lummi Reservation (Tribal),4/15/2004,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-598679050,Chromium,0.01000,mg/L,6020
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,City of Okanogan Well #2,48.36228,-119.5758,STORET-682321970,Lead,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,Colville Indian Agency Well #4,48.12527,-118.9703,STORET-682319476,Arsenic,0.00900,mg/L,200.9
Lummi Tribe of the Lummi Reservation (Tribal),11/24/2004,Lummi Auto Recyclers Monitoring Program,SW102,48.757648,-122.617552,STORET-598681886,Lead,0.00300,mg/L,6020
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,Nespelem City Well #3,48.18014,-118.9836,STORET-682318244,Arsenic,0.00600,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,Cecilia Clark Well,48.22178,-118.9727,STORET-682316980,Arsenic,0.00400,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,Rebecca Lake Well #1,48.05392,-118.9471,STORET-682319786,Arsenic,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,Malott HUD Well #1,48.27983,-119.7021,STORET-682320731,Arsenic,0.00400,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,Rebecca Lake Well #1,48.05392,-118.9471,STORET-682319810,Lead,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,Seatons Grove Well,48.01578,-118.9415,STORET-682320094,Arsenic,0.00400,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,City of Omak (Eastside) Well,48.39929,-119.5221,STORET-682321639,Arsenic,0.00900,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,Inchelium City Well #4/5,48.31338,-118.2218,STORET-682315071,Arsenic,0.00900,mg/L,200.9
Lummi Tribe of the Lummi Reservation (Tribal),11/8/2004,Lummi Auto Recyclers Monitoring Program,SW100,48.757652,-122.619278,STORET-598681299,Lead,0.00200,mg/L,6020
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,Lionel Orr Well,48.43748,-119.4578,STORET-682321351,Lead,0.00200,mg/L,200.9
Lummi Tribe of the Lummi Reservation (Tribal),11/15/2004,Lummi Auto Recyclers Monitoring Program,SW102,48.757648,-122.617552,STORET-598681568,Chromium,0.01000,mg/L,6020
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,Keller Park Campground Well,48.04066,-118.6697,STORET-682316363,Arsenic,0.00400,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,CCT Fish Hatchery Well,48.03006,-119.6879,STORET-682314705,Lead,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,Nespelem Rodeo Grounds Well,48.1363,-118.9876,STORET-682318550,Arsenic,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,Lionel Orr Well,48.43748,-119.4578,STORET-682321347,Arsenic,0.00300,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,CCT Fish & Wildlife Facility Well,48.14561,-118.9996,STORET-682318860,Arsenic,0.00700,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,Nespelem City Well #3,48.18014,-118.9836,STORET-682318265,Arsenic,0.00600,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,Seatons Grove Well,48.01578,-118.9415,STORET-682320114,Arsenic,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,Malott HUD Well #1,48.27983,-119.7021,STORET-682320736,Lead,0.00200,mg/L,200.9
Lummi Tribe of the Lummi Reservation (Tribal),11/10/2004,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-598681527,Chromium,0.01000,mg/L,6020
Lummi Tribe of the Lummi Reservation (Tribal),11/15/2004,Lummi Auto Recyclers Monitoring Program,SW102,48.757648,-122.617552,STORET-598681567,Lead,0.09000,mg/L,6020
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,City of Okanogan Well #2,48.36228,-119.5758,STORET-682321947,Arsenic,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,Elmer City Well,47.99723,-118.9585,STORET-682317309,Arsenic,0.00300,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,Inchelium City Well #4/5,48.31338,-118.2218,STORET-682315051,Arsenic,0.01100,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,Elmer City Well,47.99723,-118.9585,STORET-682317289,Arsenic,0.00500,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,Keller Mission Well #1,48.09981,-118.6947,STORET-682316114,Arsenic,0.01100,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,William Campobasso Well,48.46152,-118.7511,STORET-682315805,Arsenic,0.00500,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,Rocky River Road HUD Well #1,48.45366,-119.4601,STORET-682320407,Lead,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,City of Omak (Eastside) Well,48.39929,-119.5221,STORET-682321660,Arsenic,0.00800,mg/L,200.9
Lummi Tribe of the Lummi Reservation (Tribal),11/24/2004,Lummi Auto Recyclers Monitoring Program,SW100,48.757652,-122.619278,STORET-598681875,Lead,0.00100,mg/L,6020
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,Lionel Orr Well,48.43748,-119.4578,STORET-682321368,Arsenic,0.00300,mg/L,200.9
Lummi Tribe of the Lummi Reservation (Tribal),11/2/2004,Lummi Auto Recyclers Monitoring Program,SW100,48.757652,-122.619278,STORET-598681151,Lead,0.00800,mg/L,6020
Confederated Tribes of the Colville Reservation (Tribal),6/14/2004,Groundwater Ambient Monitoring,Malott HUD Well #1,48.27983,-119.7021,STORET-682320713,Arsenic,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,Paschal Sherman Indian School Well #1,48.36463,-119.4448,STORET-682322278,Lead,0.00300,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/14/2004,Groundwater Ambient Monitoring,Rocky River Road HUD Well #1,48.45366,-119.4601,STORET-682320422,Arsenic,0.00700,mg/L,200.9
Lummi Tribe of the Lummi Reservation (Tribal),7/13/2006,Surface Water - DOH Support,SW001,48.79649636,-122.7063606,STORET-598704644,Arsenic,0.00300,mg/L,6020
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Riverbank stabilization Well #DW-38,47.96574,-118.9806,STORET-567113346,Arsenic,0.01000,mg/L,200.9
Lummi Tribe of the Lummi Reservation (Tribal),3/29/2006,Surface Water - Regular Monitoring,SW014,48.81948368,-122.6866845,STORET-598703834,Chromium,0.01000,mg/L,6020
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Seatons Grove Well,48.01578,-118.9415,STORET-567113318,Lead,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/6/2006,Groundwater Ambient Monitoring,Cecilia Clark Well,48.22178,-118.9727,STORET-567113724,Arsenic,0.00500,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Mt Tolman Facility Well,48.02873,-118.7201,STORET-567113129,Lead,0.00700,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/10/2006,Groundwater Ambient Monitoring,Faith Frontier Ministries Well,48.10483,-119.2554,STORET-567114116,Lead,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Keller Mission Well #1,48.09981,-118.6947,STORET-567113108,Lead,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/6/2006,Groundwater Ambient Monitoring,Elmer City Well,47.99723,-118.9585,STORET-567113871,Arsenic,0.00400,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/15/2006,Project EPABEACH (system generated);Groundwater Ambient Monitoring,Rainbow Beach Resort Well #1,48.28951,-118.3663,STORET-567113066,Lead,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Elmer City Well,47.99723,-118.9585,STORET-567113339,Lead,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Keller Park Campground Well,48.04066,-118.6697,STORET-567113136,Arsenic,0.00400,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Keller Mission Well #1,48.09981,-118.6947,STORET-567113094,Arsenic,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/6/2006,Groundwater Ambient Monitoring,Riverbank stabilization Well #DW-38,47.96574,-118.9806,STORET-567113906,Lead,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Elmer City Well,47.99723,-118.9585,STORET-567113325,Arsenic,0.00600,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/11/2006,Groundwater Ambient Monitoring,Paschal Sherman Indian School Well #1,48.36463,-119.4448,STORET-567114018,Arsenic,0.00300,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Patti Bailey Well,48.33256,-118.1908,STORET-567113024,Lead,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/6/2006,Project EPABEACH (system generated);Groundwater Ambient Monitoring,Rainbow Beach Resort Well #1,48.28951,-118.3663,STORET-567113619,Arsenic,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Disautel Well #1,48.3588,-119.2369,STORET-567113493,Arsenic,0.00400,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/9/2006,Groundwater Ambient Monitoring,Lionel Orr Well,48.43748,-119.4578,STORET-567113955,Arsenic,0.00400,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/10/2006,Groundwater Ambient Monitoring,Colville Indian Agency Well #6,48.13566,-118.966,STORET-567113808,Arsenic,0.00900,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/6/2006,Groundwater Ambient Monitoring,Mt Tolman Facility Well,48.02873,-118.7201,STORET-567113717,Lead,0.00400,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,CCT Fish & Wildlife Facility Well,48.14561,-118.9996,STORET-567113220,Arsenic,0.01100,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Patti Bailey Well,48.33256,-118.1908,STORET-567113010,Arsenic,0.00400,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Colville Indian Agency Well #6,48.13566,-118.966,STORET-567113262,Arsenic,0.00700,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/6/2006,Groundwater Ambient Monitoring,Rocky River Road HUD Well #1,48.45366,-119.4601,STORET-567113913,Arsenic,0.00900,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/13/2006,Groundwater Ambient Monitoring,Inchelium City Well #4/5,48.31338,-118.2218,STORET-567113031,Arsenic,0.01100,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/11/2006,Groundwater Ambient Monitoring,William Campobasso Well,48.46152,-118.7511,STORET-567113073,Arsenic,0.00400,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/26/2006,Groundwater Ambient Monitoring,CCT Fish Hatchery Well,48.03006,-119.6879,STORET-567113535,Arsenic,0.00300,mg/L,200.9
Lummi Tribe of the Lummi Reservation (Tribal),1/11/2006,Lummi Auto Recyclers Monitoring Program,SW100,48.757652,-122.619278,STORET-598703317,Chromium,0.00300,mg/L,6020
Confederated Tribes of the Colville Reservation (Tribal),10/6/2006,Groundwater Ambient Monitoring,Keller Park Campground Well,48.04066,-118.6697,STORET-567113682,Arsenic,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Rocky River Road HUD Well #1,48.45366,-119.4601,STORET-567113367,Arsenic,0.01100,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Omak HUD Well #1,48.4305,-119.4528,STORET-567113388,Arsenic,0.00300,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,CCT Greenhouse Well,48.13181,-119.04,STORET-567113241,Arsenic,0.00300,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,CCT Greenhouse Well,48.13181,-119.04,STORET-567113255,Lead,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Malott HUD Well #1,48.27983,-119.7021,STORET-567113514,Arsenic,0.00800,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2006,Groundwater Ambient Monitoring,City of Okanogan Well #2,48.36228,-119.5758,STORET-567113465,Lead,0.00400,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Nespelem City Well #3,48.18014,-118.9836,STORET-567113178,Arsenic,0.00070,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Lionel Orr Well,48.43748,-119.4578,STORET-567113409,Arsenic,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/6/2006,Groundwater Ambient Monitoring,City of Okanogan Well #2,48.36228,-119.5758,STORET-567113997,Arsenic,0.00300,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Patti Bailey Well,48.33256,-118.1908,STORET-567113213,Lead,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/10/2006,Groundwater Ambient Monitoring,Disautel Well #1,48.3588,-119.2369,STORET-567114039,Arsenic,0.00300,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/6/2006,Groundwater Ambient Monitoring,Rebecca Lake Well #1,48.05392,-118.9471,STORET-567113829,Arsenic,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/14/2006,Groundwater Ambient Monitoring,City of Okanogan Well #2,48.36228,-119.5758,STORET-567113451,Arsenic,0.00200,mg/L,200.9
Lummi Tribe of the Lummi Reservation (Tribal),10/19/2006,Ground Water - Drinking Water Quality Program,GW145,48.81305556,-122.6983333,STORET-408691667,Arsenic,0.01000,mg/L,6020
Confederated Tribes of the Colville Reservation (Tribal),10/6/2006,Groundwater Ambient Monitoring,Nespelem City Well #3,48.18014,-118.9836,STORET-567113745,Arsenic,0.00600,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Rebecca Lake Well #1,48.05392,-118.9471,STORET-567113297,Lead,0.00200,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/6/2006,Groundwater Ambient Monitoring,Seatons Grove Well,48.01578,-118.9415,STORET-567113850,Arsenic,0.00600,mg/L,200.9
Lummi Tribe of the Lummi Reservation (Tribal),1/30/2006,Lummi Auto Recyclers Monitoring Program,SW101,48.757659,-122.618103,STORET-598704746,Lead,0.00100,mg/L,6020
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Cecilia Clark Well,48.22178,-118.9727,STORET-567113157,Arsenic,0.00040,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Seatons Grove Well,48.01578,-118.9415,STORET-567113304,Arsenic,0.00600,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/6/2006,Groundwater Ambient Monitoring,Malott HUD Well #1,48.27983,-119.7021,STORET-567114060,Arsenic,0.00800,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,City of Omak (Eastside) Well,48.39929,-119.5221,STORET-567113430,Arsenic,0.00800,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),10/10/2006,Groundwater Ambient Monitoring,City of Omak (Eastside) Well,48.39929,-119.5221,STORET-567113976,Arsenic,0.00700,mg/L,200.9
Confederated Tribes of the Colville Reservation (Tribal),6/12/2006,Groundwater Ambient Monitoring,Rebecca Lake Well #1,48.05392,-118.9471,STORET-567113283,Arsenic,0.00300,mg/L,200.9
